Resultados: bnb
Instancia;Solucao;Custo;Lim. Inf.;Nos;Tempo
Instancia;Solucao;Custo;Lim. Inf.;Nos;Tempo
e0806.txt;1 6 8 5 3 4 7 2 ;4;4;45;0.00
e1006.txt;2 1 9 4 8 10 3 5 6 7 ;12;12;233;0.01
e1008.txt;3 9 1 8 7 10 5 4 6 2 ;24;24;121;0.00
e1010.txt;4 1 9 10 2 7 8 6 3 5 ;51;51;455;0.01
e1206.txt;8 5 4 1 10 11 3 2 6 9 7 12 ;22;22;3982;0.08
e1208.txt;10 3 6 2 1 11 4 7 12 9 8 5 ;69;69;8813;0.19
e1210.txt;7 6 4 8 11 10 5 1 2 12 9 3 ;81;81;7233;0.16
e1211.txt;4 1 9 3 11 6 8 5 7 12 10 2 ;104;104;3210;0.08
e1410.txt;1 4 7 13 9 12 11 3 6 14 2 5 10 8 ;115;115;40804;1.05
e1411.txt;1 9 7 3 4 13 12 5 8 2 6 14 11 10 ;132;132;36401;0.97
Resultados: bnb
Instancia;Solucao;Custo;Lim. Inf.;Nos;Tempo
e0806.txt;1 4 2 5 7 6 3 8 ;4;4;57;0.00
e1006.txt;2 1 9 4 8 10 3 5 6 7 ;12;12;719;0.02
e1008.txt;7 2 9 1 3 10 4 6 5 8 ;24;24;202;0.00
e1010.txt;4 1 9 10 2 7 8 6 3 5 ;51;51;455;0.01
e1206.txt;8 5 6 1 10 11 3 2 7 9 4 12 ;22;22;4783;0.10
e1208.txt;10 3 6 2 1 11 4 7 12 9 8 5 ;69;69;10679;0.35
e1210.txt;7 6 4 8 11 10 5 1 2 12 9 3 ;81;81;9870;0.38
e1211.txt;4 1 9 3 11 6 8 5 7 12 10 2 ;104;104;4410;0.18
e1410.txt;1 4 7 13 9 12 11 3 5 14 2 6 10 8 ;115;115;39191;1.35
e1411.txt;1 9 7 3 4 13 12 5 8 2 6 14 11 10 ;132;132;35830;0.96
Resultados: bnb
Instancia;Solucao;Custo;Lim. Inf.;Nos;Tempo
e0806.txt;1 6 8 5 3 4 7 2 ;4;4;45;0.00
e1006.txt;2 1 9 4 8 10 3 5 6 7 ;12;12;233;0.00
e1008.txt;3 9 1 8 7 10 5 4 6 2 ;24;24;121;0.00
e1010.txt;4 1 9 10 2 7 8 6 3 5 ;51;51;455;0.01
e1206.txt;8 5 4 1 10 11 3 2 6 9 7 12 ;22;22;3982;0.07
e1208.txt;10 3 6 2 1 11 4 7 12 9 8 5 ;69;69;8813;0.19
e1210.txt;7 6 4 8 11 10 5 1 2 12 9 3 ;81;81;7233;0.17
e1211.txt;4 1 9 3 11 6 8 5 7 12 10 2 ;104;104;3210;0.08
e1410.txt;1 4 7 13 9 12 11 3 6 14 2 5 10 8 ;115;115;40804;1.04
e1411.txt;1 9 7 3 4 13 12 5 8 2 6 14 11 10 ;132;132;36401;0.94
Resultados: bnb
Instancia;Solucao;Custo;Lim. Inf.;Nos;Tempo
e0806.txt;1 6 8 5 3 4 7 2 ;4;4;45;0.00
e1006.txt;2 1 9 4 8 10 3 5 6 7 ;12;12;233;0.00
e1008.txt;3 9 1 8 7 10 5 4 6 2 ;24;24;121;0.00
e1010.txt;4 1 9 10 2 7 8 6 3 5 ;51;51;455;0.01
e1206.txt;8 5 4 1 10 11 3 2 6 9 7 12 ;22;22;3982;0.07
e1208.txt;10 3 6 2 1 11 4 7 12 9 8 5 ;69;69;8813;0.19
e1210.txt;7 6 4 8 11 10 5 1 2 12 9 3 ;81;81;7233;0.16
e1211.txt;4 1 9 3 11 6 8 5 7 12 10 2 ;104;104;3210;0.13
e1410.txt;1 4 7 13 9 12 11 3 6 14 2 5 10 8 ;115;115;40804;1.04
e1411.txt;1 9 7 3 4 13 12 5 8 2 6 14 11 10 ;132;132;36401;0.95
e1808.txt;3 12 2 17 6 15 11 14 16 4 9 5 10 13 7 1 18 8 ;135;135;1687516;57.54
